SEL1,SEL2,GPO,RR1,RR2,RR3,RR4,GEN_AC,SEL1_MOD,SEL2_MOD,GPO_MOD,RR1_MOD,RR2_MOD,RR3_MOD,RR4_MOD,GEN_AC_MOD,RANGING
27.44,26.51,62.03,38.09,15.45,41.62,47.91,85.76,0.28,0.31,38.38,1.32,0.17,0.53,0.48,37.34,24.00
26.33,26.98,62.56,44.16,16.83,41.28,48.34,83.30,0.27,0.31,40.54,3.39,0.28,0.45,0.71,35.67,26.16
27.07,25.53,59.97,45.15,16.22,42.58,51.23,86.47,0.31,0.27,38.83,2.20,0.31,0.51,0.69,36.83,39.70
27.93,27.73,66.85,45.32,22.54,42.63,49.24,84.74,0.29,0.38,41.00,2.69,0.46,0.47,0.52,37.52,27.10
28.65,30.64,61.21,43.91,17.14,42.16,52.04,86.95,0.27,0.31,41.32,2.02,0.26,0.50,1.05,39.57,28.00
28.43,31.26,69.00,46.52,22.18,44.44,53.44,83.94,0.28,0.29,43.96,2.18,0.41,0.46,0.71,35.64,41.53
27.38,29.31,65.35,46.75,17.44,43.28,49.37,85.61,0.28,0.30,44.14,2.45,0.37,0.50,0.64,36.54,26.15
29.90,28.10,68.10,42.86,23.17,42.66,49.94,88.28,0.33,0.29,42.87,2.02,0.38,0.43,0.64,38.07,26.92
28.32,28.62,66.23,50.29,21.31,43.30,50.21,88.38,0.27,0.39,42.94,2.65,0.44,0.51,0.70,38.30,39.80
26.91,33.72,62.49,45.76,19.09,42.72,49.28,88.31,0.18,0.25,39.83,2.62,0.32,0.43,1.09,36.99,25.72
30.61,28.58,60.28,43.58,16.69,41.06,49.09,85.57,0.28,0.33,41.81,2.35,0.27,0.41,0.63,36.71,26.07
27.53,26.37,58.44,40.97,16.28,48.38,45.80,87.41,0.20,0.26,38.82,1.23,0.18,0.50,0.59,37.58,37.72
29.30,34.32,65.34,43.93,16.32,41.91,50.61,86.01,0.30,0.26,41.24,2.04,0.27,0.48,0.48,36.81,27.42
28.94,25.65,60.73,41.29,16.64,45.96,49.46,89.01,0.39,0.21,39.51,2.05,0.42,0.49,0.44,37.93,27.89
28.66,29.57,65.54,46.23,17.58,42.27,50.18,88.35,0.21,0.29,41.39,2.31,0.34,0.46,0.65,37.09,39.99
26.49,26.70,62.61,44.77,15.92,40.82,49.09,86.18,0.27,0.17,41.37,2.27,0.29,0.43,0.73,34.95,26.48
28.07,29.80,65.10,46.21,15.94,42.24,45.13,88.29,0.29,0.27,41.40,3.31,0.26,0.53,0.55,38.49,27.19
28.35,25.26,61.08,47.19,17.90,44.96,49.75,87.93,0.18,0.25,42.26,3.88,0.58,1.68,1.05,38.19,37.77
34.33,27.92,61.69,48.67,17.04,46.58,49.35,85.94,0.30,0.23,40.08,3.88,0.29,0.47,0.61,36.93,26.22
28.84,25.72,61.66,45.03,18.96,45.23,49.71,89.70,0.22,0.25,41.38,2.35,0.31,0.54,0.74,37.29,24.68
26.94,28.75,64.67,42.26,19.44,46.23,51.87,86.07,0.25,0.28,41.42,3.38,0.37,0.48,0.70,35.58,38.43
26.61,24.96,58.03,42.92,16.24,43.39,49.19,86.60,0.22,0.27,39.17,2.08,0.36,0.57,0.66,37.11,25.28
25.97,25.63,62.36,43.99,17.00,36.21,45.53,137.90,0.33,0.22,39.86,2.37,0.26,0.21,0.46,38.93,29.87
25.74,26.80,58.38,43.38,17.82,41.49,51.71,85.00,0.24,0.25,38.86,2.24,0.31,0.51,1.08,35.78,38.68
26.60,29.53,77.42,42.49,16.10,41.78,48.15,86.55,0.36,0.37,52.93,2.35,0.31,0.54,0.73,37.59,26.29
27.87,29.20,63.76,45.51,18.88,46.12,48.35,93.83,0.24,0.23,40.77,4.02,0.62,0.74,1.15,37.64,29.10
26.69,27.17,60.36,45.89,15.49,40.88,48.40,95.14,0.26,0.22,41.53,2.35,0.27,1.10,1.02,40.53,38.79
27.79,27.13,63.76,45.84,21.70,43.37,50.47,83.69,0.21,0.23,40.47,2.47,0.39,0.59,0.69,35.07,28.60
